_,NafnLids,Skor
_,Þreyttir.is,19:30
_,Hung over redhead man og Diljá besta,19:18
_,DILFS,19:32
_,Festive bois,17:48
_,Það eru ekki alltaf jólin,12:29
_,Crusier Kings,15:27
_,Alex Ferguson,07:03
_,slimpossible,17:38
_,Endurance álfarnir,16:34
_,Berlínarbollurnar,16:57
_,Staðan?,05:43
_,BMB & LÞB,07:29
_,Kleinur,20:05
_,if it ain't broke don't fix it,13:45
_,Team Ginger,06:42
_,Team Model Fitness,12:36
_,Bollurnar,16:13
_,Flugfreyjurnar,17:24
_,Beygja og Bekkur,14:60
_,Actuar bandið,17:44
_,Team Awesome,19:04
_,Fjallageitur,16:25
_,Chubby No More's,12:19
_,Double trouble,14:27
_,Milfs,11:15
_,Geiturnar,09:30
_,AA,15:56
_,Villikettirnir,19:49
_,Ung og efnileg,09:41
_,K og H,14:07
_,Hrundskin,17:30
_,The Last Dance,15:12
_,Einar & Ingibjörg,13:26
_,Lexi og Simmi,14:41
