_,NafnLids,Skor
_,Eva & Telma,17:50
_,Endurance álfarnir,12:32
_,Janus,13:15
_,Hafdís og Lína,15:17
_,Ágætar,17:40
_,Booty and the beast,13:28
_,B5/F6,14:36
_,Best of the best,12:13
_,IceLatte,11:56
_,AA,13:01
_,Aron&Grímur,17:35
_,Speed power banana,11:46
_,Pjöllur,13:45
_,Tvær tuskur,469
_,Alma & Davíð,11:02
_,Brynja og Snorri,19:27
_,Dr. Cardio,17:22
_,Lion King,15:05
_,Birta og Guðrún,14:26
_,Team Ginger,10:40
_,Team XY,12:51
_,Stuttur og Styttri,13:56
_,Dagbjört og Ómar,14:52
_,A Team,15:23
_,Tall&Tiny,11:02
_,The beginners,12:03
_,Valgerður og selma,17:33
