NafnLids,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,total_points
Team Ginger,90,7.44,100,148.0,95,6.42,285
Flugfreyjurnar,100,6.05,85,131.0,25,17.24,210
Ung og efnileg,45,13.18,80,130.0,85,9.41,210
Það eru ekki alltaf jólin,65,10.59,50,109.0,80,12.29,195
Staðan?,75,9.26,20,81.0,100,5.43,195
Team Model Fitness,55,12.48,60,112.0,75,12.36,190
Fjallageitur,70,9.54,75,122.0,35,16.25,180
slimpossible,60,11.39,95,142.0,15,17.38,170
Beygja og Bekkur,15,16.13,90,137.0,55,14.6,160
The Last Dance,80,8.16,25,87.0,50,15.12,155
Crusier Kings,40,13.29,65,116.0,45,15.27,150
Festive bois,95,6.43,35,104.0,10,17.48,140
DILFS,50,13.16,70,121.0,5,19.32,125
if it ain't broke don't fix it,30,15.01,30,94.0,65,13.45,125
Double trouble,0,20.55,55,111.0,60,14.27,115
Geiturnar,10,16.57,0,70.0,90,9.3,100
Einar & Ingibjörg,25,15.47,5,71.0,70,13.26,100
Kleinur,85,7.48,10,73.0,0,20.05,95
Berlínarbollurnar,20,16.12,40,105.0,30,16.57,90
AA,5,20.27,45,107.0,40,15.56,90
Hrundskin,35,13.53,20,81.0,20,17.3,75
