NafnLids,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,total_points
Team Awesome,100,5.39,85,103.0,100,5.1,285
Hung over redhead man og Diljá besta,70,16.49,90,126.0,80,8.28,240
Bollurnar,95,7.07,55,70.0,90,7.06,240
Chubby No More's,65,19.21,70,84.0,95,5.45,230
Milfs,85,11.19,60,72.0,85,7.56,230
K og H,75,14.38,100,140.0,55,20.12,230
BMB & LÞB,55,20.03,95,133.0,75,8.53,225
Actuar bandið,80,13.59,75,94.0,65,13.2,220
Alex Ferguson,90,7.45,65,77.0,60,15.29,215
Villikettirnir,60,19.49,80,101.0,70,13.13,210
