NafnLids,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,workout5_points,workout5_score,total_points
Lid28,65,11.2,85,117.0,85,7.25,40,83.0,100,5.55,375
Lid12,90,7.16,75,103.0,30,19.48,90,126.0,80,11.48,365
Lid14,95,5.47,80,113.0,65,10.3,60,96.0,65,14.43,365
Lid18,45,16.33,100,135.0,70,9.21,50,92.0,90,8.36,355
Lid21,70,10.36,75,103.0,90,6.44,95,140.0,25,20.34,355
Lid11,100,5.05,75,103.0,75,9.08,30,79.0,70,13.35,350
Lid23,85,7.44,55,91.0,100,5.1,30,79.0,75,13.2,345
Lid8,75,10.09,75,103.0,55,11.12,60,96.0,55,15.47,320
Lid25,80,7.59,25,71.0,45,13.56,75,111.0,95,5.59,320
Lid20,60,11.49,90,118.0,80,8.05,35,82.0,45,18.06,310
Lid6,40,17.13,95,131.0,40,15.38,85,120.0,40,19.12,300
Lid5,25,20.41,30,75.0,95,5.32,80,119.0,60,14.55,290
Lid0,50,12.16,45,84.0,35,18.33,65,99.0,85,11.42,280
Lid22,35,18.57,35,77.0,25,20.49,100,147.0,50,17.27,245
Lid26,30,20.34,50,88.0,60,10.54,70,101.0,35,19.57,245
Lid15,55,12.13,40,80.0,50,13.48,45,85.0,30,20.04,220
