NafnLids,Skor,Stig
Lid18,5.55,200
Lid30,6.27,195
Lid2,6.43,190
Lid9,7.4,185
Lid19,7.44,180
Lid14,8.01,175
Lid29,8.05,170
Lid3,8.25,165
Lid10,9.32,160
Lid5,10.02,155
Lid25,10.06,150
Lid33,10.33,145
Lid27,10.54,140
Lid8,11.11,135
Lid22,11.39,130
Lid20,12.1,125
Lid24,12.15,120
Lid21,12.32,115
Lid34,12.33,110
Lid13,12.5,105
Lid17,12.59,100
Lid32,13.08,95
Lid0,13.21,90
Lid6,14.14,85
Lid12,14.49,80
Lid35,14.51,75
Lid28,15.13,70
Lid31,16.27,65
Lid7,16.35,60
Lid4,17.03,55
Lid11,17.26,50
Lid15,17.36,45
Lid23,17.39,40
Lid26,17.59,35
Lid16,18.58,30
Lid1,20.21,25
