NafnLids,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,total_points
Lid29,100,7.05,85,11.23,90,6.41,90,144.0,365
Lid12,55,16.55,100,6.07,100,5.13,80,131.0,335
Lid1,90,8.21,90,8.21,85,8.42,60,101.0,325
Lid23,40,19.54,95,6.18,80,9.59,85,138.0,300
Lid9,80,12.44,40,20.6,95,5.16,75,127.0,290
Lid4,95,8.13,75,13.07,60,16.45,45,80.0,275
Lid40,85,10.47,60,14.33,65,15.48,65,108.0,275
Lid13,45,19.1,80,12.11,75,12.26,70,109.0,270
Lid15,65,15.17,45,20.43,55,18.19,100,149.0,265
Lid24,60,15.33,50,19.34,40,20.06,95,148.0,245
Lid26,75,13.08,55,18.58,50,19.26,55,100.0,235
Lid37,70,15.02,70,13.18,45,19.36,50,89.0,235
Lid35,50,18.55,65,13.58,70,14.36,40,72.0,225
