NafnLids,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,total_points
Tall&Tiny,100,11.02,100,9.21,95,8.59,95,228.8,390
Team XY,85,12.51,95,9.3,100,8.54,100,265.55,380
Birta og Guðrún,70,14.26,85,10.31,90,10.55,85,205.97,330
Speed power banana,95,11.46,65,11.36,70,12.05,80,193.05,310
Dr. Cardio,55,17.22,80,10.5,85,11.11,90,218.08,310
Best of the best,90,12.13,75,11.04,75,11.56,50,169.37,290
Pjöllur,75,13.45,70,11.15,60,12.42,70,178.76,275
Ágætar,45,17.4,55,11.47,80,11.32,75,193.0,255
AA,80,13.01,90,10.26,35,30.0,35,10.0,240
Hafdís og Lína,65,15.17,45,12.34,65,12.09,60,171.6,235
A Team,60,15.23,60,11.43,50,13.16,65,175.175,235
Tvær tuskur,35,469.0,40,12.52,55,13.1,60,171.6,190
Valgerður og selma,50,17.33,50,11.53,40,15.06,45,150.15,185
Eva & Telma,40,17.5,35,13.03,45,14.05,40,125.0,160
