NafnLids,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,total_points
The beginners,75,12.03,100,9.08,100,8.32,90,255.0,365
Alma & Davíð,95,11.02,80,10.22,95,8.49,80,248.7,350
Tall&Tiny,95,11.02,95,9.21,85,8.59,70,228.8,345
Team XY,60,12.51,90,9.3,90,8.54,100,265.55,340
Team Ginger,100,10.4,75,10.23,80,9.0,75,230.0,330
Janus,50,13.15,65,10.28,70,9.12,95,260.0,280
IceLatte,80,11.56,55,10.33,65,9.22,60,225.0,260
Booty and the beast,45,13.28,50,10.4,75,9.02,85,250.0,255
Birta og Guðrún,30,14.26,60,10.31,55,10.55,45,205.97,190
Endurance álfarnir,65,12.32,30,11.19,60,9.28,30,189.3,185
Speed power banana,85,11.46,25,11.36,25,12.05,40,193.05,175
Best of the best,70,12.13,40,11.04,35,11.56,5,169.37,150
B5/F6,25,14.36,5,11.55,50,11.04,65,227.25,145
Dr. Cardio,0,17.22,45,10.5,45,11.11,55,218.08,145
AA,55,13.01,70,10.26,0.0,30.0,0.0,10.0,125.0
Stuttur og Styttri,35,13.56,85,10.03,0.0,30.0,0.0,10.0,120.0
Pjöllur,40,13.45,35,11.15,15,12.42,25,178.76,115
Lion King,15,15.05,0,12.25,30,11.59,50,210.0,95
Ágætar,0.0,17.4,15,11.47,40,11.32,35,193.0,90.0
A Team,5,15.23,20,11.43,5,13.16,20,175.175,50
Hafdís og Lína,10,15.17,0.0,12.34,20,12.09,15,171.6,45.0
Tvær tuskur,0.0,469.0,0.0,12.52,10,13.1,15,171.6,25.0
Dagbjört og Ómar,20,14.52,0.0,15.16,0.0,15.1,0.0,133.65,20.0
Valgerður og selma,0.0,17.33,10,11.53,0.0,15.06,0,150.15,10.0
Eva & Telma,0.0,17.5,0.0,13.03,0.0,14.05,0.0,125.0,0.0
Aron&Grímur,0.0,17.35,0.0,14.11,0.0,15.3,0.0,150.0,0.0
Brynja og Snorri,0.0,19.27,0.0,14.04,0,14.02,0.0,148.6,0.0
