NafnLids,Skor,Stig
The beginners,9.08,100
Tall&Tiny,9.21,95
Team XY,9.3,90
Stuttur og Styttri,10.03,85
Alma & Davíð,10.22,80
Team Ginger,10.23,75
AA,10.26,70
Janus,10.28,65
Birta og Guðrún,10.31,60
IceLatte,10.33,55
Booty and the beast,10.4,50
Dr. Cardio,10.5,45
Best of the best,11.04,40
Pjöllur,11.15,35
Endurance álfarnir,11.19,30
Speed power banana,11.36,25
A Team,11.43,20
Ágætar,11.47,15
Valgerður og selma,11.53,10
B5/F6,11.55,5
Lion King,12.25,0
Hafdís og Lína,12.34,0.0
Tvær tuskur,12.52,0.0
Dagbjört og Ómar,15.16,0.0
Eva & Telma,13.03,0.0
Aron&Grímur,14.11,0.0
Brynja og Snorri,14.04,0.0
