NafnLids,workout1_points,workout1_score,workout2_points,workout2_score,workout3_points,workout3_score,workout4_points,workout4_score,workout5_points,workout5_score,total_points
Lid50,195,5.3,0.0,72.0,145,9.4,135,126.0,175,6.3,650.0
Lid20,125,9.25,160,138.0,125,11.02,145,128.0,30,13.26,585
Lid19,180,6.43,0.0,76.0,40,15.11,200,150.0,150,7.37,570.0
Lid15,190,6.13,5,85.0,85,13.18,145,128.0,135,8.26,560
Lid18,120,9.32,160,138.0,55,14.18,65,108.0,160,7.24,560
Lid22,155,7.33,200,150.0,0,17.17,70,109.0,135,8.26,560
Lid33,30,14.21,135,123.0,150,9.19,120,124.0,100,10.33,535
Lid41,115,9.39,0.0,83.0,200,6.28,95,117.0,120,9.02,530.0
Lid25,0.0,20.53,5,85.0,175,7.14,195,148.0,140,8.03,515.0
Lid44,140,9.08,125,121.0,0.0,20.51,50,102.0,195,5.35,510.0
Lid45,90,11.04,195,147.0,45,14.42,0.0,77.0,180,6.06,510.0
Lid51,135,9.12,75,110.0,155,9.02,20,97.0,125,8.38,510
Lid10,55,13.0,180,142.0,15,16.25,195,148.0,60,11.12,505
Lid14,185,6.26,0.0,74.0,115,11.55,15,94.0,190,6.04,505.0
Lid1,60,12.09,65,104.0,130,10.45,180,143.0,65,11.07,500
Lid36,165,7.12,110,118.0,75,13.55,100,120.0,50,12.07,500
Lid23,170,7.09,0.0,77.0,195,6.4,40,99.0,90,10.49,495.0
Lid34,50,13.09,180,142.0,110,12.06,0.0,73.0,155,7.27,495.0
Lid32,5,16.12,80,111.0,80,13.43,175,141.0,145,7.59,485
Lid8,0.0,19.07,195,147.0,165,7.48,0.0,83.0,110,10.12,470.0
Lid49,145,8.1,0.0,84.0,120,11.08,120,124.0,80,10.6,465.0
Lid52,175,6.46,165,139.0,105,12.24,0.0,81.0,0.0,19.59,445.0
Lid13,0.0,19.22,95,113.0,185,6.53,160,135.0,0.0,17.41,440.0
Lid24,75,11.29,125,121.0,0.0,19.36,170,138.0,70,11.01,440.0
Lid46,160,7.24,0.0,76.0,180,7.03,60,107.0,35,12.57,435.0
Lid47,200,5.25,0.0,84.0,10,16.47,45,100.0,170,6.33,425.0
Lid5,105,10.26,130,122.0,0.0,19.2,185,146.0,0.0,20.34,420.0
Lid26,10,15.57,145,126.0,60,14.13,55,104.0,105,10.25,375
Lid16,0.0,17.06,0.0,76.0,170,7.35,0.0,79.0,185,6.05,355.0
Lid38,20,15.06,140,125.0,30,16.04,155,132.0,0,17.38,345
Lid4,25,14.52,35,92.0,50,14.4,30,98.0,200,5.25,340
Lid42,130,9.17,20,88.0,105,12.24,0.0,75.0,85,10.54,340.0
Lid21,100,10.34,95,113.0,140,10.27,0,92.0,0.0,20.08,335.0
Lid48,85,11.24,150,128.0,70,13.58,30,98.0,0.0,20.22,335.0
Lid6,0.0,19.34,10,86.0,135,10.35,90,114.0,80,10.6,315.0
Lid40,65,12.01,170,140.0,5,17.1,75,110.0,0.0,17.58,315.0
Lid43,0.0,19.52,60,103.0,35,15.39,170,138.0,40,12.55,305.0
Lid37,80,11.28,40,93.0,0.0,17.43,0.0,83.0,165,6.41,285.0
Lid30,0.0,19.44,195,147.0,0.0,17.55,40,99.0,45,12.32,280.0
Lid39,40,13.42,105,117.0,0.0,19.48,135,126.0,0.0,17.39,280.0
Lid12,35,14.03,50,97.0,65,14.01,120,124.0,5,17.32,275
Lid27,0.0,17.55,25,89.0,90,13.1,135,126.0,25,14.1,275.0
Lid53,110,10.15,0.0,71.0,160,8.22,5,93.0,0.0,18.17,275.0
Lid7,45,13.2,35,92.0,190,6.51,0.0,70.0,0.0,19.36,270.0
Lid9,150,7.5,115,119.0,0.0,18.11,0.0,79.0,0.0,17.55,265.0
Lid2,0.0,19.04,0.0,82.0,0.0,19.19,120,124.0,115,9.58,235.0
Lid3,0.0,20.21,70,107.0,20,16.07,90,114.0,55,11.38,235.0
Lid17,0.0,18.15,55,101.0,25,16.06,150,130.0,0.0,17.54,230.0
Lid28,95,10.53,85,112.0,0.0,18.5,15,94.0,0.0,17.49,195.0
Lid11,0.0,18.15,0.0,75.0,0.0,18.05,80,111.0,95,10.35,175.0
Lid35,70,11.3,45,95.0,0.0,20.25,0.0,72.0,20,16.33,135.0
Lid29,15,15.53,100,114.0,0.0,17.19,0.0,86.0,15,16.55,130.0
Lid31,0,16.43,20,88.0,95,12.39,0.0,79.0,10,17.27,125.0
