NafnLids,Skor,Stig
Lid4,5.25,200
Lid44,5.35,195
Lid14,6.04,190
Lid16,6.05,185
Lid45,6.06,180
Lid50,6.3,175
Lid47,6.33,170
Lid37,6.41,165
Lid18,7.24,160
Lid34,7.27,155
Lid19,7.37,150
Lid32,7.59,145
Lid25,8.03,140
Lid15,8.26,135
Lid22,8.26,135
Lid51,8.38,125
Lid41,9.02,120
Lid2,9.58,115
Lid8,10.12,110
Lid26,10.25,105
Lid33,10.33,100
Lid11,10.35,95
Lid23,10.49,90
Lid42,10.54,85
Lid49,10.6,80
Lid6,10.6,80
Lid24,11.01,70
Lid1,11.07,65
Lid10,11.12,60
Lid3,11.38,55
Lid36,12.07,50
Lid30,12.32,45
Lid43,12.55,40
Lid46,12.57,35
Lid20,13.26,30
Lid27,14.1,25
Lid35,16.33,20
Lid29,16.55,15
Lid31,17.27,10
Lid12,17.32,5
Lid52,19.59,0.0
Lid13,17.41,0.0
Lid5,20.34,0.0
Lid38,17.38,0
Lid21,20.08,0.0
Lid48,20.22,0.0
Lid40,17.58,0.0
Lid39,17.39,0.0
Lid53,18.17,0.0
Lid7,19.36,0.0
Lid9,17.55,0.0
Lid17,17.54,0.0
Lid28,17.49,0.0
